"year","name","rating"
2009,"Crazy Love: Overwhelmed by a Relentless God",4.7
2009,"Liberty and Tyranny: A Conservative Manifesto",4.8
2009,"The Last Olympian (Percy Jackson and the Olympians, Book 5)",4.8
2009,"The Time Traveler's Wife",4.4
2009,"Where the Wild Things Are",4.8
2009,"The Lost Symbol",4.2
2009,"The 5000 Year Leap",4.8
2009,"The Love Dare",4.8
2009,"Eclipse (Twilight)",4.7
2009,"Eclipse (Twilight Sagas)",4.7
2009,"Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood)",4.6
2009,"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",4.5
2009,"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",4.3
2009,"Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution",4.5
2009,"The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change",4.6
2009,"The Shack: Where Tragedy Confronts Eternity",4.6
2009,"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",4.8
2009,"Under the Dome: A Novel",4.3
2009,"The Book of Basketball: The NBA According to The Sports Guy",4.7
2009,"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",4.6
2009,"Diary of a Wimpy Kid: The Last Straw (Book 3)",4.8
2009,"Publication Manual of the American Psychological Association, 6th Edition",4.5
2009,"Mastering the Art of French Cooking, Vol. 2",4.8
2009,"Watchmen",4.8
2009,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",4.6
2009,"The Elegance of the Hedgehog",4.0
2009,"Sookie Stackhouse",4.7
2009,"I, Alex Cross",4.6
2009,"Twilight (The Twilight Saga, Book 1)",4.7
2009,"The Five Dysfunctions of a Team: A Leadership Fable",4.6
2009,"The Five Love Languages: How to Express Heartfelt Commitment to Your Mate",4.6
2009,"True Compass: A Memoir",4.5
2009,"Have a Little Faith: A True Story",4.8
2009,"Outliers: The Story of Success",4.6
2009,"Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time",4.3
2009,"The Girl Who Played with Fire (Millennium)",4.7
2009,"The Girl with the Dragon Tattoo (Millennium Series)",4.4
2009,"The Guernsey Literary and Potato Peel Pie Society",4.7
2009,"Breaking Dawn (The Twilight Saga, Book 4)",4.6
2009,"StrengthsFinder 2.0",4.0
2009,"The Help",4.8
2009,"Good to Great: Why Some Companies Make the Leap and Others Don't",4.5
2009,"Going Rogue: An American Life",4.6
2009,"Arguing with Idiots: How to Stop Small Minds and Big Government",4.6
2009,"The Twilight Saga Collection",4.7
2009,"New Moon (The Twilight Saga)",4.6
2009,"Olive Kitteridge",4.2
2009,"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",4.6
2009,"The Last Lecture",4.7
2009,"The Tipping Point: How Little Things Can Make a Big Difference",4.4
2010,"StrengthsFinder 2.0",4.0
2010,"Outliers: The Story of Success",4.6
2010,"Sh*t My Dad Says",4.7
2010,"Sarah's Key",4.6
2010,"Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3)",4.8
2010,"Radical: Taking Back Your Faith from the American Dream",4.7
2010,"Publication Manual of the American Psychological Association, 6th Edition",4.5
2010,"Autobiography of Mark Twain, Vol. 1",4.2
2010,"Towers of Midnight (Wheel of Time, Book Thirteen)",4.8
2010,"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",4.7
2010,"Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time",4.3
2010,"Broke: The Plan to Restore Our Trust, Truth and Treasure",4.5
2010,"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",4.8
2010,"Women Food and God: An Unexpected Path to Almost Everything",4.2
2010,"Catching Fire (The Hunger Games)",4.7
2010,"Crazy Love: Overwhelmed by a Relentless God",4.7
2010,"Cutting for Stone",4.6
2010,"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",4.3
2010,"The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga)",4.6
2010,"Decision Points",4.6
2010,"Delivering Happiness: A Path to Profits, Passion, and Purpose",4.6
2010,"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",4.6
2010,"The Red Pyramid (The Kane Chronicles, Book 1)",4.6
2010,"Drive: The Surprising Truth About What Motivates Us",4.5
2010,"The Official SAT Study Guide",4.4
2010,"The Lost Hero (Heroes of Olympus, Book 1)",4.8
2010,"The Last Olympian (Percy Jackson and the Olympians, Book 5)",4.8
2010,"Food Rules: An Eater's Manual",4.4
2010,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",4.4
2010,"George Washington's Sacred Fire",4.5
2010,"The Immortal Life of Henrietta Lacks",4.7
2010,"The Hunger Games",4.7
2010,"Good to Great: Why Some Companies Make the Leap and Others Don't",4.5
2010,"The Help",4.8
2010,"A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror",4.6
2010,"The Girl with the Dragon Tattoo (Millennium Series)",4.4
2010,"The Girl Who Played with Fire (Millennium Series)",4.7
2010,"The Girl Who Kicked the Hornet's Nest (Millennium Trilogy)",4.7
2010,"The Five Dysfunctions of a Team: A Leadership Fable",4.6
2010,"The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race",4.4
2010,"The Confession: A Novel",4.3
2010,"The Big Short: Inside the Doomsday Machine",4.7
2010,"The Art of Racing in the Rain: A Novel",4.7
2010,"Life",4.5
2010,"Little Bee: A Novel",4.1
2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.8
2010,"The 5 Love Languages: The Secret to Love That Lasts",4.7
2010,"Teach Like a Champion: 49 Techniques that Put Students on the Path to College",4.4
2010,"Switch: How to Change Things When Change Is Hard",4.6
2010,"Mockingjay (The Hunger Games)",4.5
2011,"Thinking, Fast and Slow",4.6
2011,"The Art of Racing in the Rain: A Novel",4.7
2011,"Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series)",4.7
2011,"The Lego Ideas Book: Unlock Your Imagination",4.4
2011,"Publication Manual of the American Psychological Association, 6th Edition",4.5
2011,"Water for Elephants: A Novel",4.5
2011,"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",4.2
2011,"The Throne of Fire (The Kane Chronicles, Book 2)",4.7
2011,"Steve Jobs",4.6
2011,"The Girl Who Kicked the Hornet's Nest (Millennium Trilogy)",4.7
2011,"Tina Fey: Bossypants",4.3
2011,"Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back",4.7
2011,"The Official SAT Study Guide",4.4
2011,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",4.5
2011,"Jesus Calling: Enjoying Peace in His Presence (with Scripture References)",4.9
2011,"The Immortal Life of Henrietta Lacks",4.7
2011,"A Stolen Life: A Memoir",4.6
2011,"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…",4.7
2011,"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",4.3
2011,"The Five Dysfunctions of a Team: A Leadership Fable",4.6
2011,"Mockingjay (The Hunger Games)",4.5
2011,"One Thousand Gifts: A Dare to Live Fully Right Where You Are",4.6
2011,"Inheritance: Book IV (Inheritance Cycle)",4.6
2011,"What to Expect When You're Expecting",4.4
2011,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",4.4
2011,"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever",4.1
2011,"The 5 Love Languages: The Secret to Love That Lasts",4.7
2011,"The Hunger Games Trilogy Boxed Set (1)",4.8
2011,"Crazy Love: Overwhelmed by a Relentless God",4.7
2011,"The Hunger Games (Book 1)",4.7
2011,"The 17 Day Diet: A Doctor's Plan Designed for Rapid Results",4.3
2011,"Catching Fire (The Hunger Games)",4.7
2011,"The Paris Wife: A Novel",4.3
2011,"Go the F**k to Sleep",4.8
2011,"Cabin Fever (Diary of a Wimpy Kid, Book 6)",4.8
2011,"Cutting for Stone",4.6
2011,"StrengthsFinder 2.0",4.0
2011,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",4.2
2011,"The Help",4.8
2011,"11/22/63: A Novel",4.6
2011,"Teach Like a Champion: 49 Techniques that Put Students on the Path to College",4.4
2011,"Good to Great: Why Some Companies Make the Leap and Others Don't",4.5
2011,"The Son of Neptune (Heroes of Olympus, Book 2)",4.8
2011,"The Help",4.8
2011,"A Dance with Dragons (A Song of Ice and Fire)",4.4
2011,"Radical: Taking Back Your Faith from the American Dream",4.7
2011,"The Litigators",4.4
2011,"The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change",4.6
2011,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.8
2011,"Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows",4.6
2012,"The Third Wheel (Diary of a Wimpy Kid, Book 7)",4.7
2012,"The 5 Love Languages: The Secret to Love That Lasts",4.7
2012,"The Lego Ideas Book: Unlock Your Imagination",4.4
2012,"Fifty Shades Darker",4.4
2012,"Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition)",4.5
2012,"Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series)",3.8
2012,"Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed)",4.5
2012,"Catching Fire (The Hunger Games)",4.7
2012,"Oh, the Places You'll Go!",4.9
2012,"Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows",4.6
2012,"One Thousand Gifts: A Dare to Live Fully Right Where You Are",4.6
2012,"The Immortal Life of Henrietta Lacks",4.7
2012,"The Hunger Games Trilogy Boxed Set (1)",4.8
2012,"The Hunger Games (Book 1)",4.7
2012,"Gone Girl",4.0
2012,"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",4.4
2012,"Good to Great: Why Some Companies Make the Leap and Others Don't",4.5
2012,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",4.9
2012,"The Harbinger: The Ancient Mystery that Holds the Secret of America's Future",4.6
2012,"The Great Gatsby",4.4
2012,"Thinking, Fast and Slow",4.6
2012,"Thomas Jefferson: The Art of Power",4.5
2012,"Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back",4.7
2012,"Steve Jobs",4.6
2012,"Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook",4.8
2012,"The Five Dysfunctions of a Team: A Leadership Fable",4.6
2012,"The Fault in Our Stars",4.7
2012,"Quiet: The Power of Introverts in a World That Can't Stop Talking",4.6
2012,"Publication Manual of the American Psychological Association, 6th Edition",4.5
2012,"Mockingjay (The Hunger Games)",4.5
2012,"Jesus Calling: Enjoying Peace in His Presence (with Scripture References)",4.9
2012,"The Casual Vacancy",3.3
2012,"Killing Kennedy: The End of Camelot",4.6
2012,"Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series)",4.7
2012,"Proof of Heaven: A Neurosurgeon's Journey into the Afterlife",4.3
2012,"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",4.2
2012,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.8
2012,"The Amateur",4.6
