name,year,price,rating
Crazy Love: Overwhelmed by a Relentless God,2009,14,4.7
Liberty and Tyranny: A Conservative Manifesto,2009,15,4.8
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",2009,7,4.8
The Time Traveler's Wife,2009,6,4.4
Where the Wild Things Are,2009,13,4.8
The Lost Symbol,2009,19,4.2
The 5000 Year Leap,2009,12,4.8
The Love Dare,2009,13,4.8
Eclipse (Twilight),2009,18,4.7
Eclipse (Twilight Sagas),2009,7,4.7
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),2009,4,4.6
"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",2009,18,4.5
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",2009,14,4.3
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,2009,1,4.5
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,2009,24,4.6
The Shack: Where Tragedy Confronts Eternity,2009,8,4.6
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",2009,12,4.8
Under the Dome: A Novel,2009,20,4.3
The Book of Basketball: The NBA According to The Sports Guy,2009,53,4.7
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",2009,6,4.6
Diary of a Wimpy Kid: The Last Straw (Book 3),2009,15,4.8
"Publication Manual of the American Psychological Association, 6th Edition",2009,46,4.5
"Mastering the Art of French Cooking, Vol. 2",2009,27,4.8
Watchmen,2009,42,4.8
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",2009,17,4.6
The Elegance of the Hedgehog,2009,11,4
Sookie Stackhouse,2009,25,4.7
"I, Alex Cross",2009,7,4.6
"Twilight (The Twilight Saga, Book 1)",2009,9,4.7
The Five Dysfunctions of a Team: A Leadership Fable,2009,6,4.6
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,2009,9,4.6
True Compass: A Memoir,2009,15,4.5
Have a Little Faith: A True Story,2009,4,4.8
Outliers: The Story of Success,2009,20,4.6
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,2009,11,4.3
The Girl Who Played with Fire (Millennium),2009,16,4.7
The Girl with the Dragon Tattoo (Millennium Series),2009,2,4.4
The Guernsey Literary and Potato Peel Pie Society,2009,10,4.7
"Breaking Dawn (The Twilight Saga, Book 4)",2009,13,4.6
StrengthsFinder 2.0,2009,17,4
The Help,2009,6,4.8
Good to Great: Why Some Companies Make the Leap and Others Don't,2009,14,4.5
Going Rogue: An American Life,2009,6,4.6
Arguing with Idiots: How to Stop Small Minds and Big Government,2009,5,4.6
The Twilight Saga Collection,2009,82,4.7
New Moon (The Twilight Saga),2009,10,4.6
Olive Kitteridge,2009,12,4.2
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",2009,11,4.6
The Last Lecture,2009,9,4.7
The Tipping Point: How Little Things Can Make a Big Difference,2009,9,4.4
StrengthsFinder 2.0,2010,17,4
Outliers: The Story of Success,2010,20,4.6
Sh*t My Dad Says,2010,11,4.7
Sarah's Key,2010,10,4.6
Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),2010,2,4.8
Radical: Taking Back Your Faith from the American Dream,2010,9,4.7
"Publication Manual of the American Psychological Association, 6th Edition",2010,46,4.5
"Autobiography of Mark Twain, Vol. 1",2010,14,4.2
"Towers of Midnight (Wheel of Time, Book Thirteen)",2010,21,4.8
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",2010,21,4.7
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,2010,11,4.3
"Broke: The Plan to Restore Our Trust, Truth and Treasure",2010,8,4.5
"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",2010,12,4.8
Women Food and God: An Unexpected Path to Almost Everything,2010,11,4.2
Catching Fire (The Hunger Games),2010,11,4.7
Crazy Love: Overwhelmed by a Relentless God,2010,14,4.7
Cutting for Stone,2010,11,4.6
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",2010,8,4.3
The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),2010,0,4.6
Decision Points,2010,17,4.6
"Delivering Happiness: A Path to Profits, Passion, and Purpose",2010,15,4.6
